query_id,source_dataset,subject,query,basic,intermediate,advanced,annotator_id,coherence_0_3,level_appropriateness_0_3,progression_0_3,non_redundancy_0_3
MED071,MedMCQA,Ophthalmology,Surgical Procedures For Glaucoma,Definition of glaucoma and its impact on vision | Goals of glaucoma surgery | Overview of surgical options for glaucoma,"Trabeculectomy: technique and postoperative care | Tube shunt implantation: indications and outcomes | Laser trabeculoplasty: principles and indications | Patient selection and preoperative evaluation for glaucoma surgery | Managing postoperative complications (bleb failure, hypotony)",Comparative effectiveness of traditional vs. minimally invasive glaucoma surgery (MIGS) | Design and materials of glaucoma drainage devices | Personalized surgical planning using imaging and biometrics | Long‑term outcomes and risk stratification in glaucoma surgery | Emerging technologies: gene therapy and regenerative approaches for glaucoma,A3,3,2,3,2
MED012,MedMCQA,Pathology,Mendelian Disorders: Single-Gene Defects,"Gene structure and function | Mendelian inheritance patterns | Autosomal dominant vs recessive disorders | Types of gene mutations (missense, nonsense, frameshift) | Clinical presentation of single‑gene disorders","Molecular consequences of point mutations | Genotype‑phenotype correlation in Mendelian diseases | Diagnostic techniques: PCR, Sanger sequencing, next‑generation sequencing | Carrier detection and prenatal testing | Genetic counseling principles","Gene therapy strategies for monogenic disorders | CRISPR‑Cas9 mediated genome editing in disease models | Functional genomics approaches to uncover pathogenic mechanisms | Population genetics and carrier frequency estimation | Ethical, legal, and social implications of gene editing",A3,3,3,3,2
MED078,MedMCQA,Radiology,"Ultrasonography, CT, and MRI",Principles of ultrasound imaging | Principles of computed tomography (CT) | Principles of magnetic resonance imaging (MRI) | Common clinical indications for each modality | Safety considerations and contraindications | Basic image interpretation fundamentals,"Ultrasound physics: sound waves, attenuation, resolution | CT image acquisition: X‑ray source, detectors, reconstruction algorithms | MRI physics: nuclear magnetic resonance, magnetic fields, RF pulses | Contrast agents: ultrasound microbubbles, iodinated CT contrast, gadolinium MRI contrast | Image post‑processing: window/level adjustments, 3D reconstruction | Radiation dose management in CT | Ultrasound Doppler techniques | Functional MRI (fMRI) basics","Advanced ultrasound techniques: elastography, contrast‑enhanced ultrasound, 3D/4D imaging | CT perfusion imaging and dual‑energy CT | MRI advanced sequences: diffusion‑weighted imaging, spectroscopy, perfusion, functional connectivity | Quantitative imaging biomarkers and radiomics | AI‑driven image reconstruction and interpretation | Hybrid imaging modalities: PET/CT, PET/MRI | Optimization of imaging protocols for specific pathologies | Research on novel contrast agents and safety profiles",A3,2,3,2,3
MED056,MedMCQA,Physiology,Body fluid compaments,Definition of body fluid compartments | Intracellular fluid | Extracellular fluid | Interstitial fluid | Plasma | Transcellular fluid | Typical fluid distribution percentages,Capillary filtration and reabsorption mechanisms | Osmotic and hydrostatic pressures (Starling forces) | Regulation of fluid balance by kidneys and hormones | Fluid shifts during dehydration and edema | Sodium and water influence on compartmental distribution,Fluid therapy protocols in critical care settings | Mathematical modeling of fluid compartment dynamics in disease | Advanced imaging techniques for assessing fluid distribution | Fluid compartment alterations in sepsis and shock | Emerging biomarkers for precise fluid status assessment,A3,3,3,3,0
MED005,MedMCQA,ENT,Anatomy of Nasal Cavity,"Basic structure of the nasal cavity | Nasal cavity regions: vestibule, respiratory zone, olfactory zone | Nasal septum and conchae | Nasal mucosa and cilia | Nasal cavity bones and cartilage","Functions of the nasal cavity: filtration, humidification, temperature regulation | Blood supply and innervation of the nasal cavity | Olfactory system and nasal cavity | Nasal cavity and sinus connections | Common nasal cavity disorders: rhinitis, sinusitis, nasal polyps",Computational fluid dynamics of airflow in the nasal cavity | Endoscopic surgical techniques for nasal cavity reconstruction | Tissue engineering and regenerative approaches for nasal mucosa | Advanced imaging modalities for nasal cavity assessment | Neuroanatomical pathways of olfactory perception,A3,3,3,3,3
MED100,MedMCQA,Social & Preventive Medicine,Air,"Composition of Earth's atmosphere | Physical properties of air (pressure, temperature, density) | Atmospheric layers and their characteristics | Behavior of air as a gas | Basic air quality indicators","Diffusion and convection of air | Weather systems and air movement | Thermodynamics of air (ideal gas law, adiabatic processes) | Sources and effects of air pollution | Fundamentals of aerodynamics (lift, drag, airflow)",Climate modeling and atmospheric circulation | Atmospheric chemistry and ozone dynamics | Computational fluid dynamics for air flow analysis | Design of aircraft and wind turbines using air properties | Acoustic propagation and sound in air,A3,3,2,2,0
MED091,MedMCQA,Ophthalmology,Ocular Manifestations of Diseases of CNS,Anatomy of the visual pathway | Fundamentals of neuro‑ophthalmic examination | Common ocular signs of CNS disease,Mechanisms of papilledema and optic disc edema | Visual field defects associated with CNS lesions | Ocular motor palsies in brainstem disease | Ocular manifestations of demyelinating CNS disorders,Imaging biomarkers linking ocular findings to CNS pathology | Differential diagnosis of optic neuropathies in CNS disease | Therapeutic strategies for neuro‑ophthalmic complications | Emerging research on neuro‑ophthalmic biomarkers for disease monitoring,A3,1,2,3,2
MED028,MedMCQA,Gynaecology & Obstetrics,Endometriosis and dysmenorrhea,Definition of endometriosis | Definition of dysmenorrhea | Overview of the menstrual cycle | Common symptoms of endometriosis | Common symptoms of dysmenorrhea | Basics of pain perception,Pathophysiology of endometriosis | Etiology and risk factors for endometriosis | Pathophysiology of dysmenorrhea | Diagnostic methods for endometriosis | Diagnostic methods for dysmenorrhea | Medical management of endometriosis | Medical management of dysmenorrhea | Surgical options for endometriosis | Impact of endometriosis on fertility | Psychological and quality‑of‑life effects,Genetic and molecular mechanisms underlying endometriosis | Immunological and inflammatory pathways in endometriosis | Emerging pharmacologic therapies for endometriosis | Novel imaging techniques for early detection of endometriosis | Long‑term outcomes of surgical versus medical treatment | Cost‑effectiveness and health‑policy considerations for endometriosis care | Patient‑centered decision‑making models | Multidisciplinary care pathways for endometriosis and dysmenorrhea | Research on refractory dysmenorrhea subtypes and novel pain management,A3,3,3,2,3
MED030,MedMCQA,Microbiology,Bacteriology,Definition and classification of bacteria | Bacterial morphology and cell structure | Gram staining and basic identification | Bacterial growth conditions and reproduction | Bacterial metabolism and energy pathways,"Mechanisms of antibiotic resistance | Bacterial virulence factors and pathogenesis | Host immune response to bacterial infection | Bacterial biofilm formation and control | Bacterial genetics: plasmids and horizontal gene transfer | Quorum sensing and bacterial communication | Molecular identification techniques (PCR, sequencing)",Metagenomic analysis of bacterial communities | Synthetic biology and genome editing in bacteria | Bacteriophage therapy and phage biology | Systems biology and metabolic modeling of bacteria | Bacterial evolution and phylogenetic reconstruction | Metabolic engineering for industrial bioproducts | Computational modeling of bacterial population dynamics,A3,3,2,1,2
MED066,MedMCQA,ENT,Infections and Inflammatory Conditions,"Definition of infection and inflammation | Major classes of pathogens (bacteria, viruses, fungi, parasites) | Modes of pathogen transmission | Host immune system fundamentals | Acute inflammatory response | Chronic inflammation | Clinical signs and symptoms of infection | Basic diagnostic methods (culture, imaging, lab tests)","Innate immunity: phagocytosis, complement, NK cells | Adaptive immunity: B cells, T cells, antibody production | Cytokine signaling and inflammatory mediators | Acute vs chronic inflammation pathways | Sepsis and septic shock pathophysiology | Common inflammatory diseases (arthritis, IBD, asthma) | Principles of antimicrobial therapy | Classes of anti‑inflammatory drugs (NSAIDs, steroids, biologics) | Diagnostic biomarkers (CRP, ESR, procalcitonin)","Molecular host‑pathogen interactions | Immunopathogenesis of autoimmune diseases | Mechanisms of antimicrobial resistance | Vaccine design and immunogenicity | Precision medicine approaches in infectious disease | Systems biology of inflammation | Novel therapeutics: biologics, gene therapy, CRISPR antimicrobials | Computational modeling of infection dynamics | Clinical trial design for anti‑inflammatory agents | Emerging infectious diseases and global health strategies",A3,3,2,3,3
MED080,MedMCQA,Social & Preventive Medicine,Measurement of Mortality and Morbidity,Definition of mortality and morbidity | Incidence and prevalence | Case fatality rate | Death certificate | Disease registry,Age‑standardization of mortality rates | Verbal autopsy and surveillance systems | Active vs passive disease surveillance | Relative risk and odds ratio | Data quality and misclassification,Disability‑adjusted life years (DALYs) and years of life lost (YLL) | Bayesian hierarchical modeling for mortality estimation | Integration of electronic health records for morbidity surveillance | Multilevel survival analysis and competing risks | Development and validation of new health indicators,A3,3,3,3,2
MED087,MedMCQA,Forensic Medicine,Organic Irritants,"Definition of organic irritants | Common sources of organic irritants | Routes of exposure: inhalation, dermal, ocular | Health effects of irritation: skin, eyes, respiratory | Distinction between irritants and allergens","Chemical classes of organic irritants: acids, bases, solvents, hydrocarbons | Cellular mechanisms of irritation: protein denaturation, membrane disruption | Standardized skin irritation tests: OECD 439, Draize test | Respiratory irritation assessment: OECD 436 | Personal protective equipment and mitigation strategies | Regulatory limits and labeling requirements","Molecular signaling pathways of irritation: MAPK, NF‑κB | Computational prediction of irritancy: QSAR models | Design of low‑irritancy organic compounds via green chemistry | Integrated occupational risk assessment frameworks | Emerging organic irritants in consumer products | Real‑time detection and monitoring technologies",A3,2,3,3,3
MED074,MedMCQA,Pediatrics,Enuresis and Voiding Dysfunction,"Definition of enuresis | Definition of voiding dysfunction | Types of enuresis (nocturnal vs daytime) | Basic bladder anatomy and function | Common causes of enuresis | Initial assessment steps (history, voiding diary)","Pathophysiology of enuresis (bladder capacity, neural control) | Behavioral interventions (bedwetting alarms, fluid restriction) | Pharmacologic options (desmopressin, anticholinergics) | Diagnostic tests (uroflowmetry, urodynamics) | Differentiating enuresis from other voiding disorders | Psychosocial impact of enuresis","Advanced urodynamic interpretation for voiding dysfunction | Emerging pharmacotherapies (mirabegron, combination therapy) | Neuroimaging insights into enuresis mechanisms | Genetic and neurodevelopmental contributors | Long‑term management strategies and recurrence prevention | Multidisciplinary care models and research directions",A3,3,3,2,2
MED026,MedMCQA,ENT,Rhinitis,Definition of Rhinitis | Common symptoms of rhinitis | Primary types: allergic vs non‑allergic | Triggers and risk factors | Basic anatomy of the nasal cavity,"Pathophysiology of allergic rhinitis | Diagnostic criteria and testing (skin prick, IgE) | Pharmacologic management (antihistamines, intranasal steroids) | Non‑pharmacologic strategies (allergen avoidance, nasal irrigation) | Impact on quality of life and comorbidities","Immunologic mechanisms: IgE‑mediated vs innate responses | Emerging biologic therapies (omalizumab, dupilumab) | Genetic predisposition and epigenetic factors | Personalized medicine approaches in rhinitis | Public health burden and cost‑effectiveness of interventions",A3,1,3,3,3
MED092,MedMCQA,Orthopaedics,Spinal Injuries,Anatomy of the spinal column | Common causes of spinal injuries | Signs and symptoms of spinal injury | Immediate first‑aid response | Role of spinal immobilization,"Mechanisms of spinal trauma (fracture, dislocation, contusion) | Classification systems (ASIA, AO Spine) | Imaging modalities for spinal injury (X‑ray, CT, MRI) | Acute medical management (pain control, blood pressure, spinal cord protection) | Early rehabilitation and physiotherapy principles","Pathophysiology of spinal cord injury (primary vs secondary injury) | Advanced surgical interventions (decompression, instrumentation, fusion) | Neuroregenerative strategies (stem cells, growth factors, neuroprosthetics) | Long‑term functional outcomes and quality‑of‑life assessment | Prevention and public‑health strategies for spinal injury reduction",A3,3,3,3,2
MMLU055,MMLU,econometrics,Which of the following is a DISADVANTAGE of using pure time-series models (relative to structural models)?,Definition of pure time‑series models | Definition of structural models | Key difference between time‑series and structural approaches | Typical disadvantage of pure time‑series models,Pure time‑series models cannot provide causal inference | Difficulty incorporating external structural relationships | Higher risk of overfitting in pure time‑series models | Limited interpretability of time‑series parameters | Sensitivity to model specification and parameter stability,Structural equation modeling for causal analysis | Dynamic system identification techniques | Bayesian structural time‑series models | Model validation across structural and time‑series frameworks | Integrating time‑series with structural modeling for improved inference,A3,3,3,3,2
MMLU030,MMLU,college_biology,"A quote from a natural resources text states: ""Whenever the original ecosystem becomes restructured by man, it tends to become simplified, with a resultant disruption of the stabilizing influences of density-dependent regulatory factors."" This implies that in a disturbed ecosystem",Ecosystem structure | Human-induced habitat simplification | Biodiversity | Density-dependent regulation | Population dynamics,Simplification effects on species interactions | Density-dependent factors in ecosystem stability | Disturbance ecology | Ecosystem resilience | Assessing ecological simplification,Modeling loss of density-dependent regulation | Restoration strategies to reestablish regulation | Predictive frameworks for ecosystem stability | Integrative studies of biodiversity loss and function | Adaptive management to counteract simplification,A3,3,3,3,3
MMLU059,MMLU,econometrics,Which one of the following would be a plausible response to a finding of residual non-normality?,"Residuals in linear regression | Normality assumption of errors | Visualizing residuals (histogram, Q‑Q plot) | Transforming variables to achieve normality",Statistical tests for residual normality | Box‑Cox and Yeo‑Johnson transformations | Robust standard errors (Huber‑White) | Switching to generalized linear models | Nonparametric regression techniques,Bootstrap inference for non‑normal residuals | Bayesian hierarchical modeling with non‑normal errors | Semiparametric regression methods | Model diagnostics and selection under non‑normality | Experimental design to mitigate non‑normality,A3,2,2,3,3
MMLU077,MMLU,philosophy,"During his trial, Socrates argues that he would never intentionally corrupt others because:",Socrates' trial in Athens | Corruption in ancient Greek philosophy | Intention in moral philosophy | Virtue as knowledge (Socratic view),Socrates' claim against intentional corruption | The role of knowledge in preventing corruption | Socratic method exposing ignorance | Accidental vs intentional wrongdoing,Epistemic justification of Socrates' anti-corruption stance | Impact of Socratic intentionality on modern ethics | Comparative intentional corruption across cultures | Designing ethical education from Socratic principles,A3,3,3,2,0
MMLU037,MMLU,college_chemistry,"All proteins absorb electromagnetic radiation of wavelength around 190 nm, which corresponds to a π → π* excitation in the protein molecule. In which region of the spectrum is this wavelength found?",Electromagnetic spectrum | Ultraviolet radiation | Protein absorption of light | π → π* electronic transition,Far‑ultraviolet (FUV) region | Near‑ultraviolet (NUV) region | Protein backbone absorption at ~190 nm | Spectroscopic identification of protein secondary structure,Quantum mechanical description of π → π* transitions in proteins | UV absorption as a tool for protein folding studies | Computational modeling of protein UV spectra | Design of protein‑based UV sensors,A3,2,2,3,3
MMLU001,MMLU,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",Permutations and cycle notation | Order of a permutation | Symmetric group S_n,Subgroup generated by a permutation | Lagrange's theorem and subgroup index | Computing the order of a subgroup in S_n,Index of a cyclic subgroup in S_n | Conjugacy classes and cycle type | Applications of subgroup index in group actions,A3,3,3,3,3
MMLU022,MMLU,college_biology,All of the following statements about plant embryogenesis are correct EXCEPT:,"Definition and overview of plant embryogenesis | Key developmental stages: zygote, globular, heart, torpedo, cotyledonary | Role of auxin in embryo patterning | Differences between monocot and dicot embryogenesis","Gene regulatory networks (WOX, LEC, BBM) in embryogenesis | Hormonal cross‑talk (auxin, cytokinin, gibberellin) during embryo development | Cellular differentiation and patterning mechanisms | Epigenetic modifications that regulate embryonic gene expression","Comparative embryogenesis across angiosperms, gymnosperms, and bryophytes | Somatic embryogenesis and its application in crop improvement | Evolutionary origins and diversification of embryogenic pathways | Advanced imaging and transcriptomic techniques for studying embryogenesis",A3,3,2,3,3
MMLU093,MMLU,world_religions,What is the meaning ofsamyak jnanawithin the Jaina traditions?,"Jainism: Core beliefs and goals | Definition of Samyak Jnana (Right Knowledge) in Jain doctrine | Threefold Right Knowledge: Samyak Jnana, Samyak Darshana, Samyak Charitra | Role of Samyak Jnana in the Jain path to liberation | Basic Jain epistemology: Pramāṇa and sources of knowledge","Mechanisms of acquiring Samyak Jnana: study, meditation, and guidance | Relationship between Samyak Jnana and the concept of Anekantavada (multiple viewpoints) | Samyak Jnana's influence on ethical conduct and non-violence | Comparison of Samyak Jnana with other traditions' concept of right knowledge | Practical application of Samyak Jnana in daily Jain practice",Philosophical analysis of Samyak Jnana within Jain epistemology | Integration of Samyak Jnana with Jain cosmology and karma theory | Contemporary scholarly debates on the interpretation of Samyak Jnana | Designing educational curricula to teach Samyak Jnana in modern contexts | Research methodologies for studying Samyak Jnana across Jain sects,A3,3,2,3,3
MMLU056,MMLU,econometrics,"If an estimator is said to be consistent, it is implied that",Definition of estimator consistency | Convergence in probability | Law of Large Numbers | Effect of sample size on estimator accuracy,Consistency of maximum likelihood estimators | Bias–variance trade‑off and consistency | Uniform consistency across parameter space | Relationship between consistency and efficiency,Consistency under model misspecification | Consistency of nonparametric estimators | Empirical process theory for consistency proofs | Bootstrap consistency and asymptotic validity,A3,3,3,3,3
MMLU045,MMLU,college_physics,"A particle decays in 2.0 ms in its rest frame. If the same particle moves at v=0.60c in the lab frame, how far will it travel in the lab before decaying?",Particle lifetime (proper lifetime) | Rest frame vs lab frame | Speed of light (c) | Time dilation concept | Distance traveled formula,Lorentz factor (γ) | Proper time vs dilated time | Relativistic decay length calculation | Applying time dilation to particle decay | Using velocity to compute distance,Lorentz transformation of spacetime intervals | Statistical distribution of decay times | Experimental measurement of muon lifetime | Relativistic kinematics in particle detectors | Uncertainty analysis in decay length measurement,A3,3,2,3,3
MMLU099,MMLU,world_religions,What does the term matsuri mean?,Definition of matsuri | Etymology of the word matsuri | Common contexts in which matsuri is used,"Major types of matsuri (summer, spring, autumn, winter) | Historical origins and evolution of matsuri | Typical activities and rituals performed during matsuri | Matsuri's role in fostering community identity",Anthropological analysis of matsuri's impact on social cohesion | Comparative study of matsuri and festivals in other cultures | Modern commercialization and adaptation of matsuri | Influence of matsuri on contemporary Japanese media and tourism,A3,3,3,3,3
MMLU021,MMLU,college_biology,The structures that act as sites of gas exchange in a woody stem are the,Stomata | Lenticels | Woody stem anatomy,Function of stomata in gas exchange | Function of lenticels in gas exchange | Gas exchange mechanisms in woody stems,Regulation of stomatal opening in woody stems | Adaptation of lenticels to environmental conditions | Integration of gas exchange with water transport in woody stems,A3,3,3,3,3
MMLU029,MMLU,college_biology,Which of the following is a reason that geneticists use mitochondrial DNA (mtDNA) to study the relatedness of animal populations?,Mitochondrial DNA structure and function | Maternal inheritance of mtDNA | High copy number of mtDNA in cells | Ease of PCR amplification of mtDNA,Lack of recombination in mtDNA | Higher mutation rate of mtDNA compared to nuclear DNA | Use of mtDNA haplotypes for phylogenetic inference | Maternal lineage tracing in animal populations,Coalescent modeling of mtDNA to reconstruct population history | Estimating effective population size from mtDNA variation | Phylogeographic patterns revealed by mtDNA haplotype networks | Assessing the limitations and biases of mtDNA in population genetics,A3,3,2,3,0
MMLU094,MMLU,world_religions,What does the Tripitaka mean?,"Definition of Tripitaka | Etymology of the term Tripitaka | Three Baskets: Vinaya, Sutra, Abhidharma",Historical development of the Tripitaka | Tripitaka's role in Theravada Buddhism | Tripitaka in Mahayana traditions | Canonical transmission and preservation | Interpretation of Tripitaka across cultures,"Comparative analysis of Pali, Sanskrit, and Chinese Tripitaka editions | Textual criticism and reconstruction of the Tripitaka | Philosophical themes and doctrinal evolution within the Tripitaka | Tripitaka's influence on Buddhist scholasticism and practice | Digital humanities and modern scholarship on the Tripitaka",A3,3,3,3,0
MMLU014,MMLU,business_ethics,"What term can be used to describe 'the hypothetical agreement between member of society and those who govern it which establishes the inter-relationships, rights and responsibilities on a fair basis'?",Social contract | Political legitimacy | Citizen-state relationship,"Hobbes, Locke, Rousseau social contract theories | Consent and rights in modern governance | Application of social contract to democratic institutions",Comparative critique of social contract theories | Social contract in constitutional law | Contemporary debates on digital governance and social contract,A3,3,3,3,0
MMLU012,MMLU,business_ethics,_______ theory can be described as a code of conduct to which all rational beings should adhere. This contrasts with ________ morality which is the code of conduct adopted by a particular group or society.,Universal moral theory | Cultural relativism | Key differences between universalism and relativism | Examples of universal moral principles | Examples of cultural moral codes,Philosophical foundations of universalism | Arguments for and against cultural relativism | Case studies of universal moral claims in international law | Role of rationality in universal moral theory | Historical development of moral relativism,Critiques of universal moral theory from postmodern perspectives | Integration of universalism and relativism in global ethics | Designing ethical frameworks that respect cultural diversity while upholding universal principles | Research on cross-cultural moral judgments and their implications for universal ethics | Theoretical models of moral pluralism,A3,3,1,2,3
MMLU050,MMLU,college_physics,Sound waves moving at 350 m/s diffract out of a speaker enclosure with an opening that is a long rectangular slit 0.14 m across. At about what frequency will the sound first disappear at an angle of 45q from the normal to the speaker face?,Sound wave fundamentals | Speed of sound in air | Frequency–wavelength relationship | Diffraction of waves | Slit geometry and aperture size,Diffraction minima condition (sinθ = mλ / a) | Angle–wavelength–slit width relationship | Calculating wavelength from a given diffraction angle | Converting wavelength to frequency using sound speed,Acoustic diffraction in speaker enclosure design | Impact of diffraction on speaker performance | Wave interference patterns in rectangular slits | Optimization of slit dimensions for desired acoustic output,A3,2,3,2,3
MMLU013,MMLU,business_ethics,"Ethical issues related to marketing communications include the fact that they are _________ and unavoidable, they create ________ needs, reinforce _________ and perpetuate _________ and ______.",Definition of marketing communications | Core ethical principles in advertising | Transparency and honesty in messaging | Consumer rights and protection | Regulatory overview of advertising standards,Psychological influence and consumer manipulation | Targeted advertising and privacy concerns | Stereotype reinforcement in marketing | Creating artificial needs through advertising | Ethical decision‑making frameworks for marketers,Designing ethically responsible marketing strategies | Ethical use of AI and data in advertising | Assessing societal impact of marketing communications | Developing global ethical guidelines for digital marketing | Balancing profit motives with social responsibility in marketing,A3,2,3,2,2
MMLU047,MMLU,college_physics,"The first five harmonics produced by an organ pipe open at both ends are 50 Hz, 100 Hz, 150 Hz, 200 Hz, and 250 Hz. Which of the harmonics, if any, will survive once the pipe is closed at one end?",Sound wave fundamentals | Organ pipe structure | Open pipe harmonic series | Closed pipe harmonic series | Frequency of harmonics,Boundary conditions at pipe ends | Node and antinode placement | Effect of closing one end on harmonic modes | Selection rules for surviving harmonics | Relationship between open and closed pipe frequencies,Acoustic wave equation in pipes | Modal analysis of open vs closed pipes | Impact of pipe length and speed of sound on harmonics | Design considerations for organ pipes with mixed boundary conditions | Research on acoustic impedance and harmonic suppression,A3,3,2,3,3
